ml_algo,bias,Monte_carlo_SE_bias,prct_bias,Monte_carlo_SE_prct_bias,abs_bias,Monte_carlo_abs_bias_SE,MSE,Monte_carlo_SE_MSE,empirical_SE,Monte_carlo_SE_empirical,time,nancount,n_conf,n_observations,iterations_monte_carlo,B_T,gamma,lam,linear,outcome_nuisance,propensity_nuisance,x_omit,Scenario,cov,Correlation,RMSE,DGP
Linear Regression,0.5963748999018479,0.0026199831451392,59.63748999018479,0.2619983145139223,0.5963748999018479,0.0026199831451392,0.3590883127616655,0.0031099492642253,0.0585846041243499,0.0018544632399223,0.0095226001739501,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X1 X2,S S,0.1088847126727636,0.0658133129833352,0.599239779021441,Linear
DML,-0.6430189751384586,0.0206084195430508,-64.30189751384586,2.0608419543050864,0.6747555336884823,0.0184633712684666,0.6254021734632519,0.0311117459438513,0.4608182700709687,0.0145869474566616,1.4282241582870483,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X1 X2,S S,0.1088847126727636,0.0658133129833352,0.7908237309686982,Linear
T-learner,0.8845291045229526,0.0026349617499983,88.45291045229527,0.263496174999836,0.8845291045229526,0.0026349617499983,0.7858563054367281,0.0046587438647542,0.0589195359110813,0.0018650653203777,0.3344262981414795,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X1 X2,S S,0.1088847126727636,0.0658133129833352,0.8864853667358126,Linear
X-learner,0.6593446826012017,0.002957415726071,65.93446826012017,0.2957415726071084,0.6593446826012017,0.002957415726071,0.4390998180551107,0.0038822285046044,0.0661298260122184,0.0020933030654575,1.119750943183899,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,ElasticNet,X1 X2,S S,0.1088847126727636,0.0658133129833352,0.6626460729945592,Linear
XBCF,0.7703932144213566,0.0027487613113752,77.03932144213566,0.2748761311375214,0.7703932144213566,0.0027487613113752,0.5972759935111801,0.0042105551291219,0.0614641714615644,0.0019456143512691,1.4218324613571167,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X1 X2,S S,0.1088847126727636,0.0658133129833352,0.7728363303515047,Linear
Linear Regression,0.04025952134947,0.0026117155284544,4.025952134947003,0.2611715528454442,0.0578385108053598,0.0018344529907661,0.0050245370020718,0.0002853433553555,0.0583997345951591,0.0018486112972286,0.0084242725372314,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X15 X16,W W,0.0080586083623534,0.0050146256221982,0.07088396858297227,Linear
DML,-1.7679149029487116,0.0201972928832883,-176.79149029487115,2.0197292883288323,1.7679149029487116,0.0201972928832883,3.3290804933350056,0.0738419823855403,0.4516251984850538,0.0142959458603741,1.394270806312561,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X15 X16,W W,0.0080586083623534,0.0050146256221982,1.8245767984206653,Linear
T-learner,0.5877863221142443,0.0026627334594474,58.77863221142443,0.2662733459447409,0.5877863221142443,0.0026627334594474,0.3490307450531453,0.0031257459957837,0.0595405302128758,0.0018847225515239,0.3636652708053589,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X15 X16,W W,0.0080586083623534,0.0050146256221982,0.5907882404492707,Linear
X-learner,0.1698368586812957,0.0030250402152502,16.98368586812957,0.3025040215250263,0.1703409707415415,0.0029676936306437,0.0334108418503672,0.0010606003137137,0.0676419555597018,0.0021411686899116,1.072651596069336,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,ElasticNet,X15 X16,W W,0.0080586083623534,0.0050146256221982,0.18278632840113399,Linear
XBCF,0.28363418896128,0.0028708558890707,28.363418896128007,0.2870855889070741,0.28363418896128,0.0028708558890707,0.0845610181020934,0.0016290077499491,0.0641942892156777,0.0020320347187246,1.5297673320770264,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X15 X16,W W,0.0080586083623534,0.0050146256221982,0.2907937724609889,Linear
